timestamp,cpu_usage,ram_usage,disk_usage,network_in,network_out,disk_read,disk_write,temperature,process_count,anomaly
10:00:01,34.2,56.2,57.5,140,93,22,24,44.7,111,0
10:01:01,53.3,51.8,57.0,149,119,26,25,42.8,130,0
10:02:01,34.8,59.7,51.1,121,82,21,22,49.3,144,0
10:03:01,47.6,49.9,52.2,179,113,40,23,43.8,124,0
10:04:01,34.0,53.7,58.1,160,114,27,24,44.5,150,0
10:05:01,53.5,48.3,57.3,178,96,31,18,44.7,144,0
10:06:01,35.7,51.3,55.5,165,122,38,23,50.5,121,0
10:07:01,46.6,57.1,57.6,129,125,39,19,47.7,141,0
10:08:01,30.1,47.7,54.7,177,145,22,27,53.9,133,0
10:09:01,38.8,45.0,57.6,179,129,20,16,44.4,115,0
10:10:01,59.0,49.9,58.0,142,93,29,30,54.4,148,0
10:11:01,54.9,55.5,51.2,114,150,20,20,50.6,111,0
10:12:01,53.6,46.5,59.5,106,110,39,24,44.7,146,0
10:13:01,57.2,56.3,51.2,134,107,31,27,44.8,144,0
10:14:01,30.7,49.3,50.9,123,100,34,22,48.9,130,0
10:15:01,59.8,45.9,59.5,113,121,25,26,42.4,124,0
10:16:01,35.5,51.8,57.2,159,102,30,29,46.8,143,0
10:17:01,38.5,56.6,50.0,132,132,32,25,44.8,123,0
10:18:01,45.0,53.6,59.1,130,114,31,27,48.0,149,0
10:19:01,31.7,47.1,58.4,134,150,29,27,42.5,122,0
10:20:01,40.5,59.8,51.9,145,145,29,21,42.1,130,0
10:21:01,32.5,51.7,59.4,127,121,34,22,44.4,116,0
10:22:01,44.3,55.8,53.3,130,128,40,24,45.3,126,0
10:23:01,30.2,59.1,57.9,122,133,34,26,54.2,119,0
10:24:01,32.4,54.5,58.4,109,141,31,24,43.7,129,0
10:25:01,59.9,47.8,55.1,108,113,40,24,49.8,142,0
10:26:01,59.2,51.6,50.2,103,138,30,16,43.3,120,0
10:27:01,99.1,99.1,66.9,854,838,370,721,92.7,422,1
10:28:01,53.0,48.5,53.0,164,104,29,23,46.0,138,0
10:29:01,59.5,55.0,57.0,174,87,26,20,53.4,120,0
10:30:01,42.9,59.7,53.3,132,124,24,23,54.0,132,0
10:31:01,52.9,52.5,55.8,103,123,38,21,54.6,117,0
10:32:01,40.7,59.2,51.2,113,126,21,19,54.2,130,0
10:33:01,42.6,54.8,50.8,110,94,21,22,51.3,136,0
10:34:01,52.0,54.0,57.8,136,86,23,17,45.9,142,0
10:35:01,30.8,52.2,57.8,130,150,34,30,53.1,141,0
10:36:01,50.5,57.3,50.4,157,141,22,24,43.5,110,0
10:37:01,51.7,59.0,55.4,177,140,38,25,44.2,131,0
10:38:01,59.4,45.6,53.0,150,94,27,16,44.0,138,0
10:39:01,37.6,56.6,51.0,105,138,25,26,51.0,145,0
10:40:01,48.7,54.4,56.0,122,87,36,24,54.7,144,0
10:41:01,57.6,49.5,54.8,109,136,30,21,47.1,132,0
10:42:01,35.3,58.5,53.3,122,110,35,22,45.7,143,0
10:43:01,41.5,49.8,51.8,163,137,33,26,42.4,136,0
10:44:01,89.3,92.9,60.3,1160,651,739,465,81.1,524,1
10:45:01,38.0,55.5,58.8,168,121,30,19,48.1,121,0
10:46:01,54.0,54.2,51.7,109,129,30,15,52.0,131,0
10:47:01,58.8,56.9,54.8,133,87,22,20,52.6,129,0
10:48:01,41.2,45.5,55.6,177,85,30,25,50.6,121,0
10:49:01,49.6,51.9,51.2,176,103,37,30,45.7,139,0
10:50:01,37.9,45.5,56.8,113,112,33,22,51.4,129,0
10:51:01,58.4,49.4,55.6,175,98,38,16,44.6,127,0
10:52:01,57.5,58.4,58.5,101,90,22,23,52.9,118,0
10:53:01,51.2,51.5,50.4,157,95,35,19,50.2,144,0
10:54:01,52.9,48.1,55.5,146,135,36,28,44.3,125,0
10:55:01,43.0,49.1,55.5,140,119,31,30,43.7,110,0
10:56:01,44.9,46.6,57.8,153,124,39,26,51.4,143,0
10:57:01,41.4,46.3,50.5,129,148,28,23,45.8,113,0
10:58:01,32.9,51.7,59.3,164,119,36,15,44.5,120,0
10:59:01,33.7,53.8,50.5,114,109,26,27,42.3,129,0
11:00:01,32.1,53.7,58.2,134,131,35,19,51.4,114,0
11:01:01,45.8,52.3,52.6,161,122,29,21,43.2,122,0
11:02:01,42.4,55.7,58.6,140,95,29,17,46.8,110,0
11:03:01,44.4,50.4,56.1,179,92,22,24,54.3,116,0
11:04:01,44.7,53.9,57.9,157,140,34,19,46.9,148,0
11:05:01,53.8,49.6,58.0,138,96,29,22,49.5,127,0
11:06:01,44.2,47.9,58.5,140,100,26,23,46.5,149,0
11:07:01,36.3,49.5,56.6,119,140,23,30,53.4,142,0
11:08:01,36.7,45.2,56.1,143,108,28,18,51.5,144,0
11:09:01,55.4,47.3,56.8,112,125,21,21,48.5,136,0
11:10:01,53.2,56.9,57.8,167,144,26,15,45.2,116,0
11:11:01,55.4,48.8,51.6,106,118,30,19,47.8,144,0
11:12:01,56.4,47.1,59.7,165,101,21,18,48.1,110,0
11:13:01,59.0,59.5,55.5,177,138,32,25,47.5,110,0
11:14:01,39.9,55.8,53.8,112,86,22,21,44.6,113,0
11:15:01,35.7,57.6,59.7,126,135,24,27,45.8,118,0
11:16:01,53.8,52.5,52.7,173,87,33,20,48.2,148,0
11:17:01,42.2,56.7,55.9,108,143,24,21,49.6,110,0
11:18:01,94.8,97.6,58.8,1122,809,827,583,84.8,387,1
11:19:01,51.8,58.7,53.7,136,91,21,15,45.2,145,0
11:20:01,33.2,55.8,59.1,168,127,32,23,52.8,140,0
11:21:01,57.4,60.0,55.6,136,123,24,22,43.2,150,0
11:22:01,45.6,46.1,53.4,109,145,32,18,46.9,123,0
11:23:01,55.2,56.1,54.4,146,92,40,15,51.0,126,0
11:24:01,45.3,53.2,57.2,123,129,31,25,44.8,140,0
11:25:01,50.8,49.7,52.2,155,149,30,27,44.3,118,0
11:26:01,46.5,51.7,58.4,159,145,24,22,49.9,111,0
11:27:01,59.0,46.4,52.9,142,142,24,29,54.7,118,0
11:28:01,59.8,58.3,51.8,112,128,40,24,47.4,123,0
11:29:01,48.7,45.2,50.7,141,127,20,29,42.4,117,0
11:30:01,32.0,52.0,59.5,147,111,37,20,44.8,111,0
11:31:01,51.3,45.1,54.3,132,149,34,22,53.7,138,0
11:32:01,38.9,56.4,52.8,131,138,23,23,54.7,141,0
11:33:01,52.4,48.5,54.7,167,130,35,26,42.3,128,0
11:34:01,39.5,56.6,56.9,134,141,23,16,42.6,148,0
